reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
000,Mundo,000,Mundo,090111,Café sin tostar ni descafeinar,50419870,-556491,7457888.000,Toneladas,6760.6097061259166133897425116,USD/Toneladas,100,19,50,0
842,Estados Unidos de América,000,Mundo,090111,Café sin tostar ni descafeinar,9827420,-9576849,1293837.000,Toneladas,7595.5626558832372238543185888,USD/Toneladas,19.49116,13,56,-2
276,Alemania,000,Mundo,090111,Café sin tostar ni descafeinar,7597964,-6318428,1115056.000,Toneladas,6813.9752622289822215207128611,USD/Toneladas,15.06938,20,47,0
381,Italia,000,Mundo,090111,Café sin tostar ni descafeinar,4124292,-3984950,615736.000,Toneladas,6698.1498564319773409383242169,USD/Toneladas,8.179894,25,50,0
392,Japón,000,Mundo,090111,Café sin tostar ni descafeinar,2384668,-2384362,354953.000,Toneladas,6718.2641082058751440331536851,USD/Toneladas,4.72962,15,50,-3
056,Bélgica,000,Mundo,090111,Café sin tostar ni descafeinar,1867902,-405653,277987.000,Toneladas,6719.386158345534143682977981,USD/Toneladas,3.704694,11,44,-7
724,España,000,Mundo,090111,Café sin tostar ni descafeinar,1750381,-1538119,292801.000,Toneladas,5978.0567689318000963111464783,USD/Toneladas,3.47161,28,50,1
124,Canadá,000,Mundo,090111,Café sin tostar ni descafeinar,1683843,-1595995,223005.000,Toneladas,7550.6961727315531041904890025,USD/Toneladas,3.339643,17,63,3
251,Francia,000,Mundo,090111,Café sin tostar ni descafeinar,1586275,-1546185,224999.000,Toneladas,7050.1424450775336779274574554,USD/Toneladas,3.146131,20,53,1
757,Suiza,000,Mundo,090111,Café sin tostar ni descafeinar,1570455,-1548448,198098.000,Toneladas,7927.66711425658007652777918,USD/Toneladas,3.114754,16,35,1
156,China,000,Mundo,090111,Café sin tostar ni descafeinar,1565732,-1393294,228051.000,Toneladas,6865.7098631446474692064494346,USD/Toneladas,3.105387,42,87,23
410,"Corea, República de",000,Mundo,090111,Café sin tostar ni descafeinar,1212437,-1209650,167421.000,Toneladas,7241.8454076848185114173251862,USD/Toneladas,2.404682,17,48,0
528,Países Bajos,000,Mundo,090111,Café sin tostar ni descafeinar,1205740,-787537,170906.000,Toneladas,7054.9892923595426725802487917,USD/Toneladas,2.391398,15,56,-4
826,Reino Unido,000,Mundo,090111,Café sin tostar ni descafeinar,1086113,-949247,153702.000,Toneladas,7066.3556752677258591300048145,USD/Toneladas,2.154137,18,66,-1
616,Polonia,000,Mundo,090111,Café sin tostar ni descafeinar,860126,-832320,132501.000,Toneladas,6491.4679889208383332955977691,USD/Toneladas,1.705927,25,65,1
036,Australia,000,Mundo,090111,Café sin tostar ni descafeinar,780381,-775783,111885.000,Toneladas,6974.8491754926933905349242526,USD/Toneladas,1.547764,18,71,2
643,"Rusia, Federación de",000,Mundo,090111,Café sin tostar ni descafeinar,761885,-759328,131451.000,Toneladas,5795.9619934424234125263406136,USD/Toneladas,1.511081,32,42,12
792,Türkiye,000,Mundo,090111,Café sin tostar ni descafeinar,728800,-683507,110813.000,Toneladas,6576.8456769512602312003104329,USD/Toneladas,1.445462,35,91,11
752,Suecia,000,Mundo,090111,Café sin tostar ni descafeinar,716723,-685164,88702.000,Toneladas,8080.122206940091542468039052,USD/Toneladas,1.421509,14,48,-2
458,Malasia,000,Mundo,090111,Café sin tostar ni descafeinar,548610,-531255,91463.000,Toneladas,5998.1631916731355848813181286,USD/Toneladas,1.088083,23,38,-2
682,Arabia Saudita,000,Mundo,090111,Café sin tostar ni descafeinar,544891,-496824,79183.000,Toneladas,6881.4139398608287132339012162,USD/Toneladas,1.080706,22,36,8
818,Egipto,000,Mundo,090111,Café sin tostar ni descafeinar,397816,-393321,60067.000,Toneladas,6622.8711272412472738775034545,USD/Toneladas,0.7890064,25,42,12
012,Argelia,000,Mundo,090111,Café sin tostar ni descafeinar,377133,-377133,90057.000,Toneladas,4187.7144475165728372031047004,USD/Toneladas,0.7479857,32,66,4
246,Finlandia,000,Mundo,090111,Café sin tostar ni descafeinar,334384,-332157,42414.000,Toneladas,7883.8119488848021879568067148,USD/Toneladas,0.6631988,10,33,-4
300,Grecia,000,Mundo,090111,Café sin tostar ni descafeinar,334193,-322523,44861.000,Toneladas,7449.521856400882726644524197,USD/Toneladas,0.6628192,25,61,5
170,Colombia,000,Mundo,090111,Café sin tostar ni descafeinar,333278,5454944,62809.000,Toneladas,5306.214077600343899759588594,USD/Toneladas,0.6610057,-4,203,-20
490,Taipei Chino,000,Mundo,090111,Café sin tostar ni descafeinar,320403,-312828,43585.000,Toneladas,7351.2217506022714236549271538,USD/Toneladas,0.6354688,18,58,5
704,Viet Nam,000,Mundo,090111,Café sin tostar ni descafeinar,317308,5481207,71709.000,Toneladas,4424.939686789663779999721095,USD/Toneladas,0.6293321,102,20,63
620,Portugal,000,Mundo,090111,Café sin tostar ni descafeinar,305761,-287559,53433.000,Toneladas,5722.3251548668425879138360189,USD/Toneladas,0.6064296,28,42,5
699,India,000,Mundo,090111,Café sin tostar ni descafeinar,303708,1042266,77728.000,Toneladas,3907.317826265953067105804858,USD/Toneladas,0.6023574,23,29,-3
579,Noruega,000,Mundo,090111,Café sin tostar ni descafeinar,276440,-270618,32919.000,Toneladas,8397.58194355843130107232905,USD/Toneladas,0.5482764,13,99,-2
504,Marruecos,000,Mundo,090111,Café sin tostar ni descafeinar,265197,-265178,50055.000,Toneladas,5298.1120767156128258915193287,USD/Toneladas,0.5259778,29,16,1
784,Emiratos Árabes Unidos,000,Mundo,090111,Café sin tostar ni descafeinar,252766,-251229,45635.000,Toneladas,5538.8627150213651802344691574,USD/Toneladas,0.501323,41,18,21
400,Jordania,000,Mundo,090111,Café sin tostar ni descafeinar,212951,-212584,33818.000,Toneladas,6296.9720267313265125081317641,USD/Toneladas,0.4223555,20,64,2
608,Filipinas,000,Mundo,090111,Café sin tostar ni descafeinar,208381,-207958,39563.000,Toneladas,5267.0677147840153678942446225,USD/Toneladas,0.4132922,33,3,1
100,Bulgaria,000,Mundo,090111,Café sin tostar ni descafeinar,198486,-194427,29506.000,Toneladas,6726.9707856029282179895614451,USD/Toneladas,0.3936667,29,52,2
032,Argentina,000,Mundo,090111,Café sin tostar ni descafeinar,192334,-192334,27511.000,Toneladas,6991.1671694958380284249936389,USD/Toneladas,0.3814642,23,63,-2
208,Dinamarca,000,Mundo,090111,Café sin tostar ni descafeinar,166418,-154000,21147.000,Toneladas,7869.5796094008606421714664019,USD/Toneladas,0.3300643,26,85,8
729,Sudán,000,Mundo,090111,Café sin tostar ni descafeinar,158922,-158922,47238.000,Toneladas,3364.2829925060332782928997841,USD/Toneladas,0.3151969,24,149,2
688,Serbia,000,Mundo,090111,Café sin tostar ni descafeinar,152762,-152608,25277.000,Toneladas,6043.5178225264074059421608577,USD/Toneladas,0.3029802,21,42,-4
764,Tailandia,000,Mundo,090111,Café sin tostar ni descafeinar,150368,-132474,34435.000,Toneladas,4366.7199070712937418324379265,USD/Toneladas,0.2982318,11,-39,-10
