reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
392,Japón,000,Mundo,090111,Café sin tostar ni descafeinar,306,-2384362,16.000,Toneladas,19125,USD/Toneladas,0.0006130328,43,154,78
659,Saint Kitts y Nevis,000,Mundo,090111,Café sin tostar ni descafeinar,295,288,43.000,Toneladas,6860.4651162790697674418604651,USD/Toneladas,0.0005915207,87,,
348,Hungría,000,Mundo,090111,Café sin tostar ni descafeinar,267,-34661,27.000,Toneladas,9888.888888888888888888888889,USD/Toneladas,0.0005354631,-39,-95,-43
428,Letonia,000,Mundo,090111,Café sin tostar ni descafeinar,252,-20819,25.000,Toneladas,10080,USD/Toneladas,0.0005053809,-28,-74,-45
688,Serbia,000,Mundo,090111,Café sin tostar ni descafeinar,154,-152608,19.000,Toneladas,8105.263157894736842105263158,USD/Toneladas,0.0003093613,-16,-30,-29
020,Andorra,000,Mundo,090111,Café sin tostar ni descafeinar,140,-469,20.000,Toneladas,7000,USD/Toneladas,0.0002808937,303,186,
070,Bosnia y Herzegovina,000,Mundo,090111,Café sin tostar ni descafeinar,113,-105190,25.000,Toneladas,4520,USD/Toneladas,0.0002257094,-38,,16
612,Pitcairn,000,Mundo,090111,Café sin tostar ni descafeinar,108,108,19.000,Toneladas,5684.2105263157894736842105263,USD/Toneladas,0.000216257,,1578,
430,Liberia,000,Mundo,090111,Café sin tostar ni descafeinar,100,97,80.000,Toneladas,1250,USD/Toneladas,0.000200548,,-31,
008,Albania,000,Mundo,090111,Café sin tostar ni descafeinar,88,-32803,9.000,Toneladas,9777.777777777777777777777778,USD/Toneladas,0.0001760421,93,13,66
004,Afganistán,000,Mundo,090111,Café sin tostar ni descafeinar,82,-81,4.000,Toneladas,20500,USD/Toneladas,0.0001645128,578,,
144,Sri Lanka,000,Mundo,090111,Café sin tostar ni descafeinar,76,75,92.000,Toneladas,826.0869565217391304347826087,USD/Toneladas,0.0001524165,-8,280,46
152,Chile,000,Mundo,090111,Café sin tostar ni descafeinar,62,-85514,8.000,Toneladas,7750,USD/Toneladas,0.0001247288,-18,-2,-41
686,Senegal,000,Mundo,090111,Café sin tostar ni descafeinar,61,-1165,21.000,Toneladas,2904.7619047619047619047619048,USD/Toneladas,0.0001227676,-18,455,-8
854,Burkina Faso,000,Mundo,090111,Café sin tostar ni descafeinar,60,-503,677.000,Toneladas,88.62629246676514032496307238,USD/Toneladas,0.0001211818,26,3,30
226,Guinea Ecuatorial,000,Mundo,090111,Café sin tostar ni descafeinar,59,-200,18.000,Toneladas,3277.7777777777777777777777778,USD/Toneladas,0.0001183233,,-6,
