producto,HHI_destinos,indice_theil,GL_colombia,HHI_escala_10000,numero_equivalente_destinos,IBCR_implicito_desde_GL,lectura_umbral_018,diagnostico_comercial
Curuba (Passiflora mollissima),0.0842,1.845,0.021,842.0,11.88,0.979,Diversificado / fragmentado,Comercio interindustrial puro / alta fragmentacion
Gulupa (Passiflora edulis f. flavicarpa),0.4215,0.612,0.008,4215.0,2.37,0.992,Concentrado (mercado ancla),Comercio concentrado en mercado ancla (Paises Bajos)
