reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%)
170,Colombia,268,Georgia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",33,33,0.0006797310983775,,0.001522398,118,,,29
170,Colombia,826,Reino Unido,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",26,-62,0.0005355457138732,0.004475002,13.08105,2,-61,-34,22
170,Colombia,528,Países Bajos,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",25,-2389,0.0005149478018011,0.002121681,0.1920515,29,85,926,12
170,Colombia,208,Dinamarca,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",20,20,0.0004119582414409,0.007055918,0.02474956,69,,,0
170,Colombia,531,Curaçao,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",12,12,0.0002471749448645,0.003272751,0.0266795,67,-15,658,30
170,Colombia,076,Brasil,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",11,-2821,0.0002265770327925,0.009367201,0.08233902,41,-14,120,0
170,Colombia,056,Bélgica,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",10,-29,0.0002059791207204,0.01090445,0.7760433,19,-45,84,-18
170,Colombia,818,Egipto,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",10,10,0.0002059791207204,,0.08076315,42,38,,-9
170,Colombia,051,Armenia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",9,9,0.0001853812086484,0.001147441,0.1902395,30,-11,,103
170,Colombia,705,Eslovenia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",9,9,0.0001853812086484,0.002599462,0.03358981,61,,49,5
