reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%)
170,Colombia,642,Rumania,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",1,-1,0.0007826257092545,0.0001854527,0.03918683,77,,,
170,Colombia,752,Suecia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",1,-1,0.0007826257092545,0.0002598595,0.1677977,52,-13,,5
170,Colombia,036,Australia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,58944,,0.00000728355,2.993308,8,,,18
170,Colombia,044,Bahamas,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,1,,,0.0002209275,154,,,21
170,Colombia,051,Armenia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,9,,,0.2074119,47,,,90
170,Colombia,188,Costa Rica,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,444,,,0.0182681,97,,,32
170,Colombia,208,Dinamarca,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,20,,,0.02195075,92,,,6
170,Colombia,222,El Salvador,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,73,,,0.000624343,144,,,-24
170,Colombia,268,Georgia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,33,,,0.009053186,107,,,6
170,Colombia,320,Guatemala,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,728,,0.005885988,0.002469382,124,,,11
170,Colombia,340,Honduras,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,5,,,0.02693807,86,,,18
170,Colombia,348,Hungría,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,2,,,0.01149498,103,,,-2
170,Colombia,531,Curaçao,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,12,,,0.003821086,118,,,67
170,Colombia,554,Nueva Zelandia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,34,,,0.08775691,65,,,30
170,Colombia,608,Filipinas,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,6,,,0.1996474,49,,,22
170,Colombia,634,Qatar,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,40,,,0.04076376,76,,,49
170,Colombia,682,Arabia Saudita,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,6,,,0.3184752,39,,,23
170,Colombia,705,Eslovenia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,9,,0.001731827,0.008392646,109,,,13
170,Colombia,710,Sudáfrica,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,3,,,1.715918,16,,,-10
170,Colombia,818,Egipto,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,10,,,0.5542608,27,,,56
170,Colombia,862,"Venezuela, República Bolivariana de",71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,1,,,0.00005495128,169,,,-54
