reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
170,Colombia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",31580,27326,16780,22784,28423,29870,15647,13554,65255,138014
170,Colombia,842,Estados Unidos de América,1801,"Cacao en grano, entero o partido, crudo o tostado",148,799,1675,1394,718,1143,788,1308,1257,49936
170,Colombia,458,Malasia,1801,"Cacao en grano, entero o partido, crudo o tostado",4837,3263,3283,4385,439,364,227,250,10155,40298
170,Colombia,528,Países Bajos,1801,"Cacao en grano, entero o partido, crudo o tostado",1617,5587,1213,734,719,651,450,248,929,8819
170,Colombia,643,"Rusia, Federación de",1801,"Cacao en grano, entero o partido, crudo o tostado",1,33,59,37,45,8,7,10,210,8768
170,Colombia,484,México,1801,"Cacao en grano, entero o partido, crudo o tostado",3466,5911,4483,11551,21847,18334,7108,6214,31767,8673
170,Colombia,381,Italia,1801,"Cacao en grano, entero o partido, crudo o tostado",2639,4198,379,155,1445,170,315,43,2486,6934
170,Colombia,392,Japón,1801,"Cacao en grano, entero o partido, crudo o tostado",157,95,17,115,131,151,229,326,372,2903
170,Colombia,724,España,1801,"Cacao en grano, entero o partido, crudo o tostado",7038,3535,1183,59,102,14,11,0,16,2553
170,Colombia,233,Estonia,1801,"Cacao en grano, entero o partido, crudo o tostado",1644,201,120,0,482,2283,593,0,3053,1974
170,Colombia,792,Türkiye,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,0,0,0,1807
170,Colombia,360,Indonesia,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,425,564,54,121,0,0,4351,1615
170,Colombia,251,Francia,1801,"Cacao en grano, entero o partido, crudo o tostado",0,2,59,74,31,47,79,159,283,915
170,Colombia,276,Alemania,1801,"Cacao en grano, entero o partido, crudo o tostado",98,125,35,108,210,383,237,155,141,541
170,Colombia,056,Bélgica,1801,"Cacao en grano, entero o partido, crudo o tostado",5749,1657,1031,2662,1226,5115,4454,4537,9449,481
170,Colombia,032,Argentina,1801,"Cacao en grano, entero o partido, crudo o tostado",795,638,793,746,748,774,529,3,10,462
170,Colombia,826,Reino Unido,1801,"Cacao en grano, entero o partido, crudo o tostado",152,116,185,117,137,211,370,80,40,381
170,Colombia,124,Canadá,1801,"Cacao en grano, entero o partido, crudo o tostado",2608,870,1193,21,18,5,34,5,663,328
170,Colombia,784,Emiratos Árabes Unidos,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,0,0,0,245
170,Colombia,288,Ghana,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,0,0,0,223
170,Colombia,498,"Moldova, República de",1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,0,0,0,71
170,Colombia,152,Chile,1801,"Cacao en grano, entero o partido, crudo o tostado",0,1,1,7,0,2,0,0,3,42
170,Colombia,600,Paraguay,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,0,0,7,23
170,Colombia,036,Australia,1801,"Cacao en grano, entero o partido, crudo o tostado",14,6,0,0,5,0,7,3,0,19
170,Colombia,703,Eslovaquia,1801,"Cacao en grano, entero o partido, crudo o tostado",0,2,1,2,0,0,0,1,5,2
170,Colombia,780,Trinidad y Tobago,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,1,0,4,1
170,Colombia,156,China,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,0,2,0,0
170,Colombia,188,Costa Rica,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,68,0,0,0
170,Colombia,203,República Checa,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,3,0,6,17,12,12,16,0
170,Colombia,218,Ecuador,1801,"Cacao en grano, entero o partido, crudo o tostado",0,47,0,0,0,0,0,0,0,0
170,Colombia,320,Guatemala,1801,"Cacao en grano, entero o partido, crudo o tostado",0,1,1,0,4,0,1,0,1,0
170,Colombia,344,"Hong Kong, China",1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,0,72,34,0
170,Colombia,410,"Corea, República de",1801,"Cacao en grano, entero o partido, crudo o tostado",14,97,3,0,0,0,2,0,2,0
170,Colombia,440,Lituania,1801,"Cacao en grano, entero o partido, crudo o tostado",0,2,0,0,0,0,0,0,0,0
170,Colombia,490,Taipei Chino,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,4,4,0,6,9,0,0,0
170,Colombia,554,Nueva Zelandia,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,0,0,2,0
170,Colombia,604,Perú,1801,"Cacao en grano, entero o partido, crudo o tostado",0,105,430,0,0,0,0,0,0,0
170,Colombia,616,Polonia,1801,"Cacao en grano, entero o partido, crudo o tostado",0,35,0,0,0,0,0,0,0,0
170,Colombia,642,Rumania,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,2,2,6,0,0
170,Colombia,682,Arabia Saudita,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,0,1,0,0
170,Colombia,699,India,1801,"Cacao en grano, entero o partido, crudo o tostado",601,0,0,0,0,0,0,0,0,0
170,Colombia,702,Singapur,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,201,0,57,0,0,0,0,0
170,Colombia,752,Suecia,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,0,0,0,11,0,0,0
170,Colombia,757,Suiza,1801,"Cacao en grano, entero o partido, crudo o tostado",0,0,0,47,0,69,106,117,0,0
170,Colombia,858,Uruguay,1801,"Cacao en grano, entero o partido, crudo o tostado",1,0,0,0,0,0,0,0,0,0
