reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
000,Mundo,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",28620100,-2054352,3798674.000,Toneladas,7534.2343143949704554799911759,USD/Toneladas,100,32,42,-2
384,Côte d'Ivoire,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",6653010,6653010,1022492.000,Toneladas,6506.6621548139251945247493379,USD/Toneladas,23.24593,12,67,-12
218,Ecuador,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",4185920,4185762,552166.000,Toneladas,7580.9086397931056964753353158,USD/Toneladas,14.6258,58,25,12
288,Ghana,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",3539910,3539687,417088.000,Toneladas,8487.201741598895197176615007,USD/Toneladas,12.36862,17,118,-11
566,Nigeria,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",2817924,2817888,330656.000,Toneladas,8522.222491048098325752443627,USD/Toneladas,9.845963,45,20,3
056,Bélgica,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",2283983,-718442,245037.000,Toneladas,9320.971934850655207172794313,USD/Toneladas,7.980345,39,85,2
120,Camerún,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",2126711,2126711,260042.000,Toneladas,8178.336576399197052783781082,USD/Toneladas,7.430831,41,58,1
604,Perú,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",973890,957178,119793.000,Toneladas,8129.773859908341889759835717,USD/Toneladas,3.402818,69,22,21
458,Malasia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",758628,-3189402,92938.000,Toneladas,8162.732144009985151391250081,USD/Toneladas,2.650684,35,7,-2
528,Países Bajos,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",674731,-5721019,76349.000,Toneladas,8837.456941151816002829113675,USD/Toneladas,2.357543,23,-33,-13
214,República Dominicana,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",668947,668451,77061.000,Toneladas,8680.746421665952946367163676,USD/Toneladas,2.337333,36,55,0
