reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
112,Belarús,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",49969,-49969,4993.000,Toneladas,10007.810935309433206489084719,USD/Toneladas,0.1629013,33,63,-6
300,Grecia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",38233,-38215,3953.000,Toneladas,9671.894763470781684796357197,USD/Toneladas,0.1246426,50,12,5
688,Serbia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",31624,-31110,3093.000,Toneladas,10224.377626899450371807306822,USD/Toneladas,0.1030965,63,-9,17
484,México,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",25570,-25147,2935.000,Toneladas,8712.095400340715502555366269,USD/Toneladas,0.08335927,-10,-74,-36
554,Nueva Zelandia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",19758,-19590,3768.000,Toneladas,5243.6305732484076433121019108,USD/Toneladas,0.06441229,30,49,11
604,Perú,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",16712,957178,1691.000,Toneladas,9882.909520993494973388527499,USD/Toneladas,0.05448068,,1531,105
784,Emiratos Árabes Unidos,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",14020,-14018,2941.000,Toneladas,4767.0860251615096905814348861,USD/Toneladas,0.04570539,6,237,
788,Túnez,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",11629,-11618,1576.000,Toneladas,7378.8071065989847715736040609,USD/Toneladas,0.03791006,924,-40,32
191,Croacia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",11074,-11062,1216.000,Toneladas,9106.907894736842105263157895,USD/Toneladas,0.03610171,29,9,-10
364,"Irán, República Islámica del",000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",7478,-7477,1242.000,Toneladas,6020.9339774557165861513687601,USD/Toneladas,0.02437793,-13,2435,
