reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%),Distance (km),Concentration
554,Nueva Zelandia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",7,-7,0.000,Toneladas,,,0.0009596305,23,85,,9107,0.7551
748,Eswatini,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",6,-6,1.000,Toneladas,6000,USD/Toneladas,0.0007909155,42,,,2858,1
144,Sri Lanka,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",6,-6,1.000,Toneladas,6000,USD/Toneladas,0.0007753327,44,,,3133,0.5
104,Myanmar,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",5,-5,4.000,Toneladas,1250,USD/Toneladas,0.0006330592,-66,,-55,2699,1
231,Etiopía,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",4,3767,1.000,Toneladas,4000,USD/Toneladas,0.0005078896,4,,,1186,1
740,Suriname,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",4,-4,0.000,Toneladas,,,0.0005623747,-62,128,,2192,1
580,Islas Marianas del Norte,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",4,-4,0.000,Toneladas,,,0.0005168885,,-33,,11642,1
534,San Martin (parte Holandesa),000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",3,-3,0.000,Toneladas,,,0.0003876664,28,-25,,,1
659,Saint Kitts y Nevis,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",3,-3,2.000,Toneladas,1500,USD/Toneladas,0.0003610466,15,-3,,2853,1
662,Santa Lucía,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",3,-3,2.000,Toneladas,1500,USD/Toneladas,0.0004172841,103,-6,,2659,1
304,Groenlandia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",3,-3,0.000,Toneladas,,,0.0003876664,-7,,,3388,1
292,Gibraltar,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",3,-3,0.000,Toneladas,,,0.0003876664,-10,0,,933,0.5556
092,Islas Vírgenes Británicas,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",3,-3,0.000,Toneladas,,,0.0003500627,-52,-31,,1760,1
178,Congo,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",3,-3,1.000,Toneladas,3000,USD/Toneladas,0.0003433619,51,,,2556,1
072,Botsuana,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",3,-3,7.000,Toneladas,428.57142857142857142857142857,USD/Toneladas,0.0004148029,-14,25,22,522,1
044,Bahamas,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2,-2,0.000,Toneladas,,,0.0002327291,41,-45,,2506,0.5
012,Argelia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2,-2,2.000,Toneladas,1000,USD/Toneladas,0.0002132905,250,-98,,5422,1
028,Antigua y Barbuda,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2,-2,0.000,Toneladas,,,0.0002584443,,,,6959,1
132,Cabo Verde,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2,-2,0.000,Toneladas,,,0.0002053751,85,9,,2952,1
288,Ghana,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2,-2,2.000,Toneladas,1000,USD/Toneladas,0.0002710875,2,-19,,4277,1
400,Jordania,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2,-2,0.000,Toneladas,,,0.0002585735,,-98,,3347,1
566,Nigeria,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2,-2,1.000,Toneladas,2000,USD/Toneladas,0.0002250033,-11,30,,3629,1
788,Túnez,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",2,-2,1.000,Toneladas,2000,USD/Toneladas,0.0002669122,,,,4987,1
795,Turkmenistán,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1,-1,0.000,Toneladas,,,0.0001585555,,,,5024,1
418,"Lao, República Democrática Popular",000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1,-1,0.000,Toneladas,,,0.0001093219,34,,,2212,1
422,Líbano,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1,-1,0.000,Toneladas,,,0.00008796452,,,,3918,1
384,Côte d'Ivoire,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1,-1,0.000,Toneladas,,,0.0001823795,-36,,,4637,0.5
120,Camerún,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1,-1,0.000,Toneladas,,,0.00007602612,,,,2964,1
096,Brunei Darussalam,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1,-1,0.000,Toneladas,,,0.00009539496,0,,,,
180,"Congo, República Democrática del",000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1,-1,0.000,Toneladas,,,0.0001438394,44,,,1809,1
024,Angola,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",1,-1,3.000,Toneladas,333.33333333333333333333333333,USD/Toneladas,0.0001500993,65,,,4242,0.5
404,Kenya,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",,13648,,,,,,,,,,
364,"Irán, República Islámica del",000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",,8,,,,,,,,,,
320,Guatemala,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",,798,,,,,,,,,,
218,Ecuador,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",,25427,,,,,,,,,,
484,México,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",,40,,,,,,,,,,
818,Egipto,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",,100,,,,,,,,,,
699,India,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",,47,,,,,,,,,,
