"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","427347708.333333","519448541.666667","546086875","531067354.166667","540135791.666667","570741562.5","662275583.333333","675028062.5","623451562.5","690047541.666667","747575145.833333","550621104.166667","356841000","528824097.159748","463095606.326889","563045020.279405","480166471.380471","679513484.162896","738155879.62963","950929356.110381","996555891.472868","1038984088.1273","940219560.878244","986784511.784512","642600000","1199576923.07692","1128533333.33333","1212483870.96774","1442788415.29524","1594548385.95317","1866929977.69423","2062577030.81232","2405649867.37401","2990714285.71429","3039700748.12968","4122014925.37313","4507555012.22494","5075480093.67682","5876850220.26432","6028722961.73045","6588073941.56231","7227575982.20904","6791241511.40519","6876856649.39551","7257329709.52947","9999571015.39225","11741089556.3444","13530265640.2252","16182047682.9643","17359427992.7925","18471882436.8538","25621279024.2428","26877564843.4222","29306607469.6236","32830579729.9485","33831931004.0501","36922447162.046","37655756192.841","40732047404.0872","45992932855.1263","39053880559.8514","44386125441.8587","59275206086.406","57551452000.7801","47087839244.3229","50724940945.2083",
"Bulgaria","BGR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","7155026071.46819","7148240029.69291","6789013093.78331","6300586600.9676","6987153873.51553","7515998369.49626","8111525999.53606","11595544132.8571","10481297226.2637","10094532670.8534","6864510320.87969","3316878143.07604","4052975879.06173","4138612933.31746","4373762115.69899","6142087838.8999","5962986680.36068","5610391096.54059","6304548122.87625","5830130223.77959","4797791666.18635","4947626203.94835","5519464526.37527","7277821210.20919","10713880327.283","12703659939.3603","16152072592.5674","23263189913.6984","28591649713.6811","21964974098.1393","25395522756.1356","33911530784.7453","32767921909.6262","36041537034.1799","36848064410.2017","32383417567.5048","34441575793.7464","39638742330.8676","43572669715.493","44053127057.0848","39809586250.4753","52188034903.5088","63338969112.3653","63371847847.3694","63894874227.789","66354382380.9581",
"Bahrain","BHR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","3813478376.22712","4547340159.57447","4337766223.40425","3611169946.80851","3768351063.82979","3716489627.65957","3013031914.89362","3472340425.53191","3529787234.04255","3811169946.80851","4887765691.48936","3923935904.25532","4009042287.23404","4361702127.65957","4520478723.40425","4796010638.29787","5364361436.17021","5020744946.80851","3994946808.51064","5221808510.6383","7176063829.78723","6607446808.51064","6956117021.2766","7980851063.82979","10336702127.6596","13396808510.6383","15662234042.5532","17314361702.1277","21231382978.7234","15704787234.0426","17880319148.9362","28609308510.6383","31409042553.1915","34102925531.9149","32069148936.1702","25805319148.9362","23918617021.2766","26881914893.617","29959042553.1915","29564361702.1277","25249202127.6596","35234574468.0851","44581914893.617","40349468085.1064","41303457446.8085","",
"Bahamas, The","BHS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","589300000","688100000","785000000","939800000","961200000","1038300000","1153500000","1297900000","1503600000","1577900000","1664300000","","1648320000","1714730000","1585170000","1562180000","1606810000","1662790000","1699040000","1733680000","2335400000","2368200000","2801300000","3072900000","2834100000","3212800000","3176400000","3460500000","3812500000","3895000000","4257100000","4157100000","3412900000","3528800000","3769900000","4087400000","4175100000","4161900000","4241600000","3903100000","3948900000","4519000000","4644400000","2411900000","3366900000","5163900000","5774300000","5982200000","",
"Bosnia and Herzegovina","BIH","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194000000","381000000","658000000","1022025932.26516","1124011006.6217","1295466214.90962","1218441300.88654","1280121565.11077","1286840345.11132","1749751115.45058","2288902820.48075","2728982617.39837","3378094597.29891","4276282415.0824","5131416810.71543","4405139247.28548","5100600105.63809","5972861400.33278","5572942366.69053","6134185102.89189","6307950241.79724","5760366704.24363","6146467330.90555","7390002149.41859","8600140375.44094","8201250825.66056","6996561966.72044","10137269156.0142","11851990990.2836","12121804463.0702","12103908354.0057","13366489381.94",
"Belarus","BLR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7991967871.48594","6134969325.15337","10127048425.7043","11004262912.6599","10641574224.5816","6939556172.25154","6720924332.12407","8457248497.9202","8988770378.07839","7186389618.7248","8815283224.1715","8246546762.58993","9286372925.64715","11614414484.6851","15709960838.0473","18064972931.8142","22199798560.0776","27592401028.8526","37020969855.8322","24865004206.8706","29401680706.1249","48462076576.5494","51745313006.0334","44057927601.759","43300691503.4086","32749844750.6246","29831676604.3599","36550879709.6994","42294886945.8699","41927532636.0335","37444144984.2698","49351137896.7375","46516126575.5303","47855354381.7647","49635542198.3666","51443726734.383",
"Belize","BLZ","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","88973677","84972543","70947948.5","76516537.5","108649358","83652581","104359482","137936011","161076592","172914999.5","223301496.239812","214670100","285422200","289533650","320424050","329246950","355026750","382290400","401042650","440616500","487924600","490927800","542614750","583088150","592076950","674186100","823898200","862991350","935978400","767106000","885429200","1038907850","1137338150","1140192650","1186559050","1130908300","1059495900","1128699550","1182621350","1238668200","770543100","1155566850","1496710050","1676688500","1769154200","",
"Bermuda","BMU","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3370007000","3316640000","3221785000","3337183000","3281476000","3325330000","3403730000","3466748000","3719872000","3841155000","3246335000","3491937000","3960723000","4538654000","5070450000","",
"Bolivia","BOL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","61111111.1111111","67255892.2558923","67929292.9292929","81986531.986532","110437710.43771","129713804.713805","142255892.255892","170033670.03367","169696969.69697","189814814.814815","250168350.16835","234343434.343434","265513350.883791","350024987.506247","741229385.307346","623738130.934533","756121939.030485","864117941.029485","849175412.293853","1068844959.97386","1112928221.85971","1370758564.43719","1625898082.87595","1535522168.97638","1459382831.82628","1024367606.3705","844299281.028466","853524498.13855","862854457.803984","1061009895.66751","1108688418.82968","1147697877.0086","1131356484.28144","1094224543.8131","1295730953.91706","1514364434.86735","1670369478.49412","1673170826.40403","1673894695.46379","1398593388.4889","1534686673.10742","1626035910.54648","1710308633.19386","2069153669.06088","2731911668.34677","3394535859.01026","4783631930.98222","5483635308.79498","7487843216.67967","6194300356.12536","8093221339.98948","10565767132.6439","12774727337.1925","13518462720.6946","14285068712.0116","10186598885.6729","8311504862.51809","8973701186.68596","9854706136.03473","9834601157.7424","7139077206.94645","11276448089.725","14163562908.8278","11725676874.0955","11763846801.7366","",
"Brazil","BRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1069822093.95372","1109152823.34559","770900519.674771","2080325261.99351","1354466134.88626","1685625122.1861","1846958711.61305","1764834054.99797","2032731102.64928","2479930321.58748","2975391707.00149","3155632739.4951","4249449495.7691","6557708237.89377","8424673828.03794","9325921437.05926","10741988183.0392","12776590678.7557","13404621904.9098","16026612550.3001","21276141967.6084","24828388398.9376","21435129573.2899","23221079048.8769","28317692073.148","27305943480.8901","23640555933.3822","27820190341.2553","35921688764.4272","36878468232.3992","31556066666.6667","29723863636.3636","35668919610.8551","38682712856.2845","49978798948.0716","57922124038.4584","57235482141.0805","61680024619.8487","60723187855.068","57355149556.2405","66777380518.3383","69279555096.2874","72546876638.2809","84744257516.308","110739032053.055","135919140236.363","159213742531.583","186202879575.236","229517035697.556","180891970353.521","240003137741.747","303016626325.823","292808395453.514","290364173324.942","270458130850.098","232488824444.589","223863343103.297","258330777006.501","280543266303.121","264562979421.068","242872071018.291","319251201403.084","383177602116.201","393731572887.926","392105346047.039","406298241937.141",
"Barbados","BRB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","966815177.028537","1052165478.85126","1332744060.52674","1639747478.88825","1844746649.66304","2665369238.25439","4601608064.2329","4066849308.84388","3809768577.46989","3393672653.2737","","","","","","1845396865.44037","2175960382.51441","2468235362.21817","2421166297.41425","2248434358.15647","2087801582.25113","2827057059.70544","3065868297.44667","2972105446.77217","2044691629.1926","2567616759.59921","3743517639.29968","3531476907.98187","3588069784.89747","4187448792.69285","4978970766.07416","6177687114.31227","7607073551.87412","7651436598.18645","10502405644.5006","7112433442.48365","9239730724.18297","12875904772.4286","13364336606.2004","12312003443.1882","11656782737.7194","6751297356.70163","5651998520.28491","6012333920.6353","7045735066.37537","7804888584.60408","6886059825.91906","11228855780.6292","14411072071.9153","11578413348.423","11393732340.4437","10758583397.0485",
"Bhutan","BTN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","18503245.2853225","22606627.019412","20411137.5705807","19970495.7907288","21882348.4061679","25823143.0015159","35502016.4012956","59610384.6005478","79702765.2993088","77419494.006348","80463907.2185563","80401687.8932874","80226226.6078861","74253380.0548658","79954759.620322","114470385.351106","112281787.465097","131386622.516068","124774096.741431","130394708.885486","129011858.833257","125226723.098729","128203231.910492","158790865.839343","218044359.018544","313220132.210959","488533694.39006","657484027.305152","613949836.735545","565372359.169096","673077626.265008","750018031.745858","706237987.659279","727610629.708311","714242546.647184","689951582.761077","639422100.764677","737148272.640667","754068443.025006","860577748.409369","689742274.742307","808455596.608096","739014454.021463","855304391.530018","1054008208.1737","",
"Botswana","BWA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","7990792.36416704","8954881.38979759","9954224.58693473","11044517.794955","11990090.0511531","14518367.1304168","15063118.6513488","14434139.8786695","15272009.1269432","17616985.8381716","23729296.189075","42248934.6531096","61462576.4076871","94797108.2559925","125243385.721665","154832672.53363","187450046.862512","229880279.348188","307369254.86351","443738520.037251","562900061.114864","533739354.493282","553774494.712337","727761034.01688","754559745.157979","739001569.984132","951576888.200159","1476466415.43687","1864990911.01987","1826381244.39795","2086950258.69863","2090888359.81375","1997748521.72677","1959245999.40159","2036880108.9157","2404870920.53371","2609472302.63429","3056374790.69444","2361188675.49481","3027163553.28643","3000196009.25164","2671112100.25337","2836771499.44246","3667669548.87978","4444139018.51733","5249438114.40968","5136222269.86604","5968390548.64143","5037792114.61554","3625814470.20898","5325894408.36078","6684404436.05826","6691579858.7139","8759959354.23986","9480529368.99091","7183595978.7509","8236832499.81332","6912339736.57387","7532912345.37339","6203274315.31089","4675227906.32391","7832700186.10553","8835446422.96978","6386475984.09077","5222081144.52612","6383839015.67597",
