"Go to...","","Value (USD Thousands)","","",""
"Sub-products Exporting economies","Importer","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"NTL","Korea, Democratic People's Republic of","0","0","0","1","1","270","45","0","0","0"
"NTL","Lithuania","283","226","238","271","660","13","0","0","0","0"
"NTL","Maldives","0","3","12","1","0","0","0","0","0","0"
"NTL","Malta","0","0","165","52","0","0","0","0","0","0"
"NTL","Montenegro","0","0","0","0","2","1","2","0","0","0"
"NTL","Nicaragua","0","0","0","1","0","0","0","0","0","0"
"NTL","Peru","0","0","0","0","0","0","10","8","3","0"
"NTL","Philippines","18","33","23","25","19","0","1","0","0","0"
"NTL","South Africa","0","0","0","0","0","0","0","10","9","0"
"NTL","Tajikistan","0","0","0","0","0","0","0","6","0","0"
"NTL","Thailand","0","0","0","0","0","4","4","12","5","0"
"NTL","United States Minor Outlying Islands","47","37","37","6","20","13","8","6","5","0"
