reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
170,Colombia,000,Mundo,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",57044,62041,74863,80197,76931,94058,98775,98897,106407,116451
170,Colombia,528,Países Bajos,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",38406,40005,45924,53404,51416,63596,69880,66805,69264,76271
170,Colombia,826,Reino Unido,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",792,2922,3504,4498,1401,2622,1911,3616,6015,7985
170,Colombia,276,Alemania,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",5161,5387,4955,1739,2106,3636,3267,3080,5759,7237
170,Colombia,842,Estados Unidos de América,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",1338,1795,3605,2009,4014,4960,6045,6857,6759,6222
170,Colombia,124,Canadá,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",2423,2384,2992,3773,4658,4880,4736,5384,4494,4700
170,Colombia,724,España,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",767,1052,1474,1740,1731,2053,1843,1982,2111,3084
170,Colombia,056,Bélgica,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",1982,1388,3889,4585,4574,2681,2451,3376,2827,2623
170,Colombia,784,Emiratos Árabes Unidos,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",454,478,614,751,676,1975,2015,1951,2070,2011
170,Colombia,076,Brasil,081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya y otros frutos comestibles (exc. frutos de cáscara, bananas, dátiles, higos, piñas, aguacates, guayabas, mangos y mangostanes, papayas ""papayas"", cítricos frutas, uvas, melones, manzanas, membrillos, peras, albaricoques, cerezas, melocotones, ciruelas, endrinas, fresas, frambuesas, moras, zarzamoras, moras-frambuesa, los arándanos, frutos del género Vaccinium, kiwi, durians, caqui, negro, blanco- y frambuesa y grosellas)",1165,1399,1688,1490,934,620,1197,1171,1515,1380
