reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
170,Colombia,000,Mundo,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",,108,,,,,,,100,,,,7,
170,Colombia,124,Canadá,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",,3,,,,,,,0.02407648,31,,,13,
170,Colombia,528,Países Bajos,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",,3,,,,,,,6.764863,6,,,0,
170,Colombia,531,Curaçao,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",,2,,,,,,,,,,,,
170,Colombia,533,Aruba,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",,1,,,,,,,0.01211931,36,,,,
170,Colombia,591,Panamá,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",,51,,,,,,,,,,,,
170,Colombia,724,España,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",,13,,,,,,,18.77872,2,,,2,
170,Colombia,842,Estados Unidos de América,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",,35,,,,,,,13.77417,4,,,2,
