reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%),Growth Quantity 5Y (%)
170,Colombia,000,Mundo,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",108,108,33.000,Toneladas,3272.7272727272727272727272727,USD/Toneladas,100.0000000000000000,,100,,100,-35,4,85
170,Colombia,591,Panamá,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",51,51,16.000,Toneladas,3187.5,USD/Toneladas,47.2222222222222222,,0.02308959,53,,78,17,
170,Colombia,842,Estados Unidos de América,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",35,35,11.000,Toneladas,3181.8181818181818181818181818,USD/Toneladas,32.4074074074074074,0.005027982,37.337,1,123,-56,1,108
170,Colombia,724,España,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",13,13,4.000,Toneladas,3250,USD/Toneladas,12.0370370370370370,,9.707351,2,58,-69,20,0
170,Colombia,124,Canadá,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",3,3,0.000,Toneladas,,,2.7777777777777778,,9.138769,4,18,,3,
170,Colombia,528,Países Bajos,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",3,3,1.000,Toneladas,3000,USD/Toneladas,2.7777777777777778,,4.293975,7,,-64,-1,
170,Colombia,531,Curaçao,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",2,2,1.000,Toneladas,2000,USD/Toneladas,1.8518518518518519,6.896552,0.00064631,103,59,,126,
170,Colombia,533,Aruba,081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",1,1,0.000,Toneladas,,,0.9259259259259259,3.571429,0.0006148109,104,24,,47,
